clean_data,label
"áo quá đẹp luôn nếu không muốn nói là đẹp , may quá có áo mới đi làm cty mới , shop còn mẫu nào trắng nữa để mình mua",POS
"đẹp , chất mềm_mại mặc rất thích , chủ_shop nhiệt_tình chất_lượng sản_phẩm tuyệt_vời shop phục_vụ rất tốt rất đáng tiền thời_gian giao hàng rất nhanh",POS
"shop phục_vụ rất tốt , hết mẫu mình đặt còn gọi lại để đổi sang loại khác dù giá cao hơn nhưng vẫn lấy = giá sale . hàng rất oke.thanks_shop 😄",POS
"chủ shop tư_vấn rất nhiệt_tình , đầm lên form rất đẹp , hợp với dáng mình , còn đc tặng kèm qà",POS
chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp và chắc_chắn shop phục_vụ rất tốt rất đáng tiền thời_gian giao hàng rất nhanh_❤ ️_👍 🙈,POS
"shop vận_chuyển hàng nhanh , váy khá ổn , mà_còn đc tặng quà nữa hihi lắc tay nhỏ_nhỏ xinh_xinh khi nào đeo cho bé nhà 😍 😍",POS
đập vào mắt là 175000 ₫ làm mất_hứng . sản_phẩm được . màu đậm hơn hình . áo có mùi như thuốc tẩy_giặt mãi ko hết,NEG
"form áo xấu lắm , mặc lên như tá điền , chỗ tà_áo bên dưới rất dài chứ ko ngăn như ảnh mẫu mặc , bảo sao thấy quay clip gập đôi áo vào",NEG
"sản_phẩm rất ok , kể_cả áo trong của nữ chất vải cũng mềm_đẹp , mang lên sang chảnh , tui mình diện đi sinh_nhật ai cũng khen đẹp đôi , nói_chung là rất hài_lòng",POS
thời_gian giao hàng rất nhanh rất đáng tiền shop phục_vụ rất tốt đóng_gói sản_phẩm rất đẹp và chắc_chắn chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp và chắc_chắn đóng_gói sản_phẩm rất đẹp và chắc_chắn đóng_gói sản_phẩm rất đẹp và chắc_chắn,POS
mình mua 2 chai về tàng_trữ dần vì loại này vừa tẩy sạch vừa không dễ gây mụn như dầu_tẩy trang,POS
"shop giao hàng nhanh , gửi đúng màu , áo giống hình , mặc_dù chất vải ko đẹp như mong_muốn nhưng vẫn cho shop 5 *",POS
"4 quần size_l nhưng lại bị cái to cái bé , còn với giá tiền nvay thì cũng k mong chất đẹp hơn",POS
shop phục_vụ rất tốt thời_gian giao hàng rất nhanh thời_gian giao hàng rất nhanh thời_gian giao hàng rất nhanh thời_gian giao hàng rất nhanh thời_gian giao hàng rất nhanh thời_gian giao hàng rất nhanh thời_gian giao hàng rất nhanh thời_gian giao hàng rất nhanh thời_gian giao hàng rất nhanh,POS
"đóng_gói sản_phẩm chắc_chắn , shop giao hàng nhanh , nhận ngay 20/10_😂 về sp thì chất vải cũng đc , hợp mặc mùa thu . áo đẹp nhưng_mà shop nên kiểm_tra kĩ_sp đi ạ 😐_áo thì cứ vài chỗ lại có vết bẩn xong lại có màu xanh xanh ở gần đuôi áo_😐 chưa kể lúc mở hàng ra thì bị ngay cái dằm suýt đâm vào tay 😒",POS
"quay lại sửa đánh_giá sau khi tung_tăng mặc váy_diện muôn nơi ~_váy chất k có gì để chê , tuyệt_vời , dày_dặn , mặc đúng kiểu chùm chân mình thích , che được mông , cạp cao , mặc lên eo_ót với cả chân dài cả mét_:)) tuyệt_vời cho 1 chiếc váy 159 k",POS
"cổ_áo bị rách_shop nên ktra kĩ_trc khi giao , mình 40 kg cao 1 , 55 m mà mặc hơi chật",NEG
"đây là lần thứ 2 mua sp của shop , giày đẹp , cách phục_vụ tốt_😊 sẽ ủng_hộ shop nhiều nữa",POS
"minh lay_sz lớn nhất cho rộng roi , sz xxl mà nhìn thay bé hơn quần_củ , chồng mình 72 kg , sp_chất thì nhìn tốt đóng_gói sản_phẩm rất đẹp và chắc_chắn",POS
chất_lượng sản_phẩm tuyệt_vời chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp và chắc_chắn đóng_gói sản_phẩm rất đẹp và chắc_chắn thời_gian giao hàng rất nhanh rất đáng tiền,POS
"chất_lượng sản_phẩm rất kém_shop phục_vụ rất kém rất không đáng tiền , shop_phục vu qua kem , nhan_tin ve so tien se hoan_lai thi_khong thay_tra lỏi gì het",NEG
"sản_phẩm đẹp , ổn . chắc_chắn mà_lại rẻ hơn so vs mình mua ngoàí shop đắt mà mặc chưa đc 1 hôm đã đứt khuy",POS
"đóng_gói đẹp , giao đúng hàng , sp chất_lượng , giá tốt ... rất hài_lòng shop ơi , sẽ tiếp_tục ủng_hộ nè",POS
tuy_nhiên mình mua 2 cái thì cái size l ở tay_áo bị viết số màu xanh lên chỗ tay_áo mình giặt ko ra,NEG
"kem thẩm_thấu rất nhanh , thoa xong sáng dậy có cảm_giác căng da và mịn hơn , còn việc chống lão hóa thì phải xài hết mới biết kết_quả",POS
chất_liệu vải thì cũng tạm được . chán cái đường chỉ 1 cái thì bục chỉ ở túi còn 1 cái máy cả vào chun,NEG
"đóng_gói sản_phẩm rất đẹp và chắc_chắn đóng_gói sản_phẩm rất đẹp và chắc_chắn , áo khá to so với mình , nên bạn nào muốn mua size_l mà tướng người nhỏ_bé thì nên chọn soze m nha : , được tặng móc khóa_hình jinmin_thích lắmm > <",POS
"chất áo đẹp , lên dáng ok , mỗi tội mặc hơi ngứa 1 tí đóng_gói sản_phẩm rất đẹp và chắc_chắn thời_gian giao hàng rất nhanh",POS
"áo cực đẹp , nhé vải ko dày lắm đâu nên mình nghĩ vẫn mặc trong mùa hè đc , cơ_mà lần sau em mua shop đừng gọi mẹ em nhé :))))",POS
chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp và chắc_chắn shop phục_vụ rất tốt rất đáng tiền thời_gian giao hàng rất nhanh.con dc shop_tang qua nua,POS
"chất thì dc mà form ko chuẩn , sz xl ghi 53-68 kg mà 55 kg mặc thấy k dc thoải_mái , 2 c màu ghi thì chật_k mặc dc",NEG
chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp và chắc_chắn đóng_gói sản_phẩm rất đẹp và chắc_chắn shop phục_vụ rất tốt rất đáng tiền thời_gian giao hàng rất nhanh thời_gian giao hàng rất nhanh,POS
chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp và chắc_chắn shop phục_vụ rất tốt_shop phục_vụ rất tốt thời_gian giao hàng rất nhanh,POS
"mua size s giao size_l , mác thì size_s , mác ở quần thì size_l , bán hàng thế_này là cố_tình nhầm size , mọi người xem sét trước khi mua shop này nhé",NEG
"chân váy đẹp , chất vải tốt chưa biết có ra màu không mua hàng ở shop nhiều lần đều ưng_ý hàng có hư_hỏng gì shop cũng hỗ_trợ hết_mình thời_gian giao hàng rất nhanh mất tầm 2 ngày là có hàng",POS
đẹp lắm bạn nào ko tin ib . tớ cho xem ảnh . là ng tiêu_dùng mua đồ hãy xem đánh_giá trước,POS
"đóng_gói sản_phẩm rất đẹp và chắc_chắn chất_lượng sản_phẩm tuyệt_vời shop phục_vụ rất tốt thời_gian giao hàng rất nhanh , rất đáng tiền",POS
"cứ gần hết kẹo mút ghiền là ghé thăm shop , sẵn ngay ngày 10/10 có được voucher 10 % với chơi lắc xu mấy ngày cũng gần 18 k , mà mua 3 sp kẹo mút được giảm 10 % nữa chứ . mà chỉ có bị cái cho nó tự_động chọn bên vc , ko để ý_tưởng sh_4h ai_ngờ lại ghtk. .. nên ko được nhận trong ngày . sp hsd&nsx rất ok.thanks_shop",POS
hơi buồn cái này thôi còn lại thì ok . 4 sao cho shop sau_này rút kinh_nghiệm bán đồ_chơi con_nít bọc nilong lại cho nó đỡ bám bụi,POS
chất_lượng sản_phẩm tuyệt_vời chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp và chắc_chắn shop phục_vụ rất tốt rất đáng tiền thời_gian giao hàng rất nhanh,POS
"áo đặt nơi giao hàng ngã , thất_vọng về shop quá , huy_vọng shop lần sau rút kinh_nghiệm cho ~ khách_hàng khác , kiểm_tra thông_tin trc khi gửi hàng",NEG
chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp và chắc_chắn thời_gian giao hàng rất nhanh_shop phục_vụ rất tốt đóng_gói sản_phẩm rất đẹp và chắc_chắn,POS
chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp và chắc_chắn shop phục_vụ rất tốt rất đáng tiền thời_gian giao hàng rất nhanh quá tuyệt,POS
để nguyên cái dây dài cả kilomet . hàng thì nhìn đẹp nhưng không biết dùng được bền_không . nói_chung bán hàng thì nên care khách chút,NEG
chất_lượng sản_phẩm tuyệt_vời chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp và chắc_chắn đóng_gói sản_phẩm rất đẹp và chắc_chắn shop phục_vụ rất tốt_shop phục_vụ rất tốt,POS
thấy da mặt khô_hon . bớt dầu . da_minh thuộc da nhạy_cảm . nhung dùng rat ok . k bị mẩn ngứa,POS
"đường chỉ may bị lỗi , vãi mỏng không giống trong hình , mình mua màu trắng shop lại giao màu đen nói_tóm_lại shop không uy_tín , mình khuyên mọi người khi mua hàng ở shop cần phải cân_nhắc trước khi mua 👎_shop làm mình thất_vọng khi mua hàng trên shopee quá",NEG
"giao hàng nhanh , mặc_dù anh shiper làm móp cái hộp đựng . giày đúng như hình , mặc_dù hơi lộ vân_keo . nói_chung trong tầm giá này thì mình cảm_thấy ổn . sẽ ủng_hộ shop nhìu sản_phẩm nữa 😉",POS
thời_gian giao hàng rất nhanh rất đáng tiền shop phục_vụ rất tốt đóng_gói sản_phẩm rất đẹp và chắc_chắn chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp và chắc_chắn,POS
"chất_lượng sản_phẩm tuyệt_vời shop phục_vụ rất tốt , áo rẻ mà chất đẹp quá luôn , nhận hàng mà nghĩ tiếc quá , biết thế lấy thêm cái nữa :)))",POS
